NU_ANO_CENSO;NO_REGIAO;CO_REGIAO;NO_UF;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;TP_DEPENDENCIA;NO_ENTIDADE;CO_ENTIDADE;NO_AREA_CURSO_PROFISSIONAL;ID_AREA_CURSO_PROFISSIONAL;NO_CURSO_EDUC_PROFISSIONAL;CO_CURSO_EDUC_PROFISSIONAL;QT_CURSO_TEC;QT_MAT_CURSO_TEC;QT_CURSO_TEC_CT;QT_MAT_CURSO_TEC_CT;QT_CURSO_TEC_NM;QT_MAT_CURSO_TEC_NM;QT_CURSO_TEC_CONC;QT_MAT_CURSO_TEC_CONC;QT_CURSO_TEC_SUBS;QT_MAT_TEC_SUBS;QT_CURSO_TEC_EJA;QT_MAT_TEC_EJA
2024;Norte;1;Rondônia;RO;11;Ariquemes;1100023;1;0;4;CEET - CENTRO DE EXCELENCIA EM EDUCACAO E TECNOLOGIA SENAI - JOSE FERNANDES DE MOURA;11049375;Controle e processos industriais;3;Eletrotécnica;3040;1;45;0;0;0;0;1;10;1;35;0;0
2024;Norte;1;Rondônia;RO;11;Ariquemes;1100023;1;0;4;CEET - CENTRO DE EXCELENCIA EM EDUCACAO E TECNOLOGIA SENAI - JOSE FERNANDES DE MOURA;11049375;Gestão e negócios;4;Administração;4050;1;49;0;0;0;0;1;13;1;36;0;0
2024;Norte;1;Rondônia;RO;11;Ariquemes;1100023;1;0;4;CEET - CENTRO DE EXCELENCIA EM EDUCACAO E TECNOLOGIA SENAI - JOSE FERNANDES DE MOURA;11049375;Informação e comunicação;6;Informática;6073;1;18;0;0;0;0;1;6;1;12;0;0
2024;Norte;1;Rondônia;RO;11;Ariquemes;1100023;1;0;4;CEET - CENTRO DE EXCELENCIA EM EDUCACAO E TECNOLOGIA SENAI - JOSE FERNANDES DE MOURA;11049375;Infraestrutura;7;Edificações;7085;1;27;0;0;0;0;1;14;1;13;0;0
2024;Norte;1;Rondônia;RO;11;Ariquemes;1100023;1;0;4;SENAC ARIQUEMES;11049758;Ambiente e saúde;1;Outros - Eixo Ambiente e Saúde;1999;1;45;0;0;0;0;1;6;1;39;0;0
2024;Norte;1;Rondônia;RO;11;Ariquemes;1100023;1;0;4;SENAC ARIQUEMES;11049758;Gestão e negócios;4;Outros - Eixo Gestão e Negócios;4999;1;11;0;0;0;0;1;1;1;10;0;0
2024;Norte;1;Rondônia;RO;11;Ariquemes;1100023;1;0;4;CENTRO DE ENSINO DEKOLE;11051183;Ambiente e saúde;1;Enfermagem;1006;1;230;0;0;0;0;1;9;1;221;0;0
2024;Norte;1;Rondônia;RO;11;Ariquemes;1100023;1;0;4;CENTRO DE ENSINO DEKOLE;11051183;Ambiente e saúde;1;Radiologia;1023;1;28;0;0;0;0;0;0;1;28;0;0
2024;Norte;1;Rondônia;RO;11;Ariquemes;1100023;1;0;4;CENTRO DE ENSINO DEKOLE;11051183;Segurança;13;Segurança do Trabalho;13182;1;23;0;0;0;0;0;0;1;23;0;0
2024;Norte;1;Rondônia;RO;11;Ariquemes;1100023;2;0;1;IFRO - CAMPUS ARIQUEMES;11108800;Informação e comunicação;6;Informática;6073;1;168;1;168;0;0;0;0;0;0;0;0
2024;Norte;1;Rondônia;RO;11;Ariquemes;1100023;2;0;1;IFRO - CAMPUS ARIQUEMES;11108800;Informação e comunicação;6;Manutenção e Suporte em Informática;6075;1;3;1;3;0;0;0;0;0;0;0;0
2024;Norte;1;Rondônia;RO;11;Ariquemes;1100023;2;0;1;IFRO - CAMPUS ARIQUEMES;11108800;Produção alimentícia;9;Alimentos;9120;1;104;1;104;0;0;0;0;0;0;0;0
2024;Norte;1;Rondônia;RO;11;Ariquemes;1100023;2;0;1;IFRO - CAMPUS ARIQUEMES;11108800;Recursos naturais;12;Agropecuária;12174;1;292;1;292;0;0;0;0;0;0;0;0
2024;Norte;1;Rondônia;RO;11;Cacoal;1100049;2;0;4;ESCOLA DE ENSINO FUNDAMENTAL E MEDIO FAMILIA AGRICOLA PE EZEQUIEL RAMIN;11027355;Recursos naturais;12;Agropecuária;12174;1;107;0;0;0;0;1;107;0;0;0;0
2024;Norte;1;Rondônia;RO;11;Cacoal;1100049;1;0;4;CENTRO DE FORMACAO TECNICA E PROFISSIONAL DE CACOAL;11046422;Ambiente e saúde;1;Enfermagem;1006;1;67;0;0;0;0;1;3;1;64;0;0
2024;Norte;1;Rondônia;RO;11;Cacoal;1100049;1;0;4;ESCOLA SENAI CACOAL;11049383;Controle e processos industriais;3;Automação Industrial;3036;1;36;0;0;0;0;1;25;1;11;0;0
2024;Norte;1;Rondônia;RO;11;Cacoal;1100049;1;0;4;ESCOLA SENAI CACOAL;11049383;Segurança;13;Segurança do Trabalho;13182;1;84;0;0;0;0;1;47;1;37;0;0
2024;Norte;1;Rondônia;RO;11;Cacoal;1100049;1;0;4;CENTRO EDUCACIONAL MULTI ENSINO CEME;11050756;Ambiente e saúde;1;Análises clínicas;1002;1;13;0;0;0;0;1;1;1;12;0;0
2024;Norte;1;Rondônia;RO;11;Cacoal;1100049;1;0;4;CENTRO EDUCACIONAL MULTI ENSINO CEME;11050756;Ambiente e saúde;1;Enfermagem;1006;1;346;0;0;0;0;1;67;1;279;0;0
2024;Norte;1;Rondônia;RO;11;Cacoal;1100049;1;0;4;CENTRO EDUCACIONAL MULTI ENSINO CEME;11050756;Ambiente e saúde;1;Estética;1008;1;12;0;0;0;0;1;2;1;10;0;0
